Index,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,AAPL.Close.SMA.50.nFast,AAPL.Close.SMA.200.nSlow,nFast.gt.nSlow,nFast.lt.nSlow
1999-12-31,24.5452776967221,25.014590020426,24.1951172064974,25,5856400,25,NA,NA,NA,NA
2000-01-03,25.500816508844,27.3561729497945,24.7275486867965,27.22,19144400,27.22,NA,NA,NA,NA
2000-01-04,26.3179512195122,26.8941502439024,24.6015102439024,24.92,18310000,24.92,NA,NA,NA,NA
2000-01-05,25.2292067307692,26.8852153846154,25.0468269230769,25.29,27818000,25.29,NA,NA,NA,NA
2000-01-06,25.8039157894737,26.0178947368421,23.1,23.1,27443200,23.1,NA,NA,NA,NA
2000-01-07,23.4606532663317,24.5546733668342,23.2175376884422,24.19,16463200,24.19,NA,NA,NA,NA
2000-01-10,24.8034782608696,24.8642710997442,23.0404859335038,23.77,18059200,23.77,NA,NA,NA,NA
2000-01-11,23.3255741239892,24.1594986522911,22.0029649595687,22.55,15775200,22.55,NA,NA,NA,NA
2000-01-12,23.0989792407386,23.2205528156899,21.0322284665673,21.2,34870800,21.2,NA,NA,NA,NA
2000-01-13,22.9681612403101,24.0062015503876,22.4868217054264,23.52,36882400,23.52,NA,NA,NA,NA
2000-01-14,24.3130227001195,24.8600657108722,24.1598506571087,24.42,13954400,24.42,NA,NA,NA,NA
2000-01-18,24.5552241677891,25.7708293246104,24.4190763902251,25.27,16421200,25.27,NA,NA,NA,NA
2000-01-19,25.6814395645646,26.4424971846847,25.1343534159159,25.91,21358000,25.91,NA,NA,NA,NA
2000-01-20,28.0863436123348,29.5453744493392,27.6,27.6,65418800,27.6,NA,NA,NA,NA
2000-01-21,27.7747282364567,27.7747282364567,26.7877225765879,27.06,17729200,27.06,NA,NA,NA,NA
2000-01-24,26.3624018823529,27.4101882352941,25.5552903529412,25.83,15760000,25.83,NA,NA,NA,NA
2000-01-25,25.5273942093541,27.5015126948775,24.8879937639198,27.29,17775200,27.29,NA,NA,NA,NA
2000-01-26,26.7438061530084,27.7625020419276,26.683024775388,26.79,13131200,26.79,NA,NA,NA,NA
2000-01-27,26.4606136363636,27.4795454545455,26.0204545454545,26.75,12163600,26.75,NA,NA,NA,NA
2000-01-28,26.3075664239323,26.9592373548514,24.4668392048809,24.71,15142000,24.71,NA,NA,NA,NA
2000-01-31,24.5612530120482,25.259181686747,22.980578313253,25.23,25071200,25.23,NA,NA,NA,NA
2000-02-01,25.2815960099751,25.5246882793017,24.3092269326683,24.37,11380000,24.37,NA,NA,NA,NA
2000-02-02,24.4916000404817,24.8246371824714,23.5800020240866,24.02,16588800,24.02,NA,NA,NA,NA
2000-02-03,24.3905449617656,25.3485625786468,24.3759558610009,25.12,16977600,25.12,NA,NA,NA,NA
2000-02-04,25.2728185185185,26.7462962962963,25.1950111111111,26.26,15206800,26.26,NA,NA,NA,NA
2000-02-07,26.2567069963177,27.7761923549009,25.7558846221287,27.73,15770800,27.73,NA,NA,NA,NA
2000-02-08,27.7184643510055,28.2339305301645,27.0498171846435,27.93,14613600,27.93,NA,NA,NA,NA
2000-02-09,27.7446776771444,28.4740330314331,27.3362386787427,27.38,10698000,27.38,NA,NA,NA,NA
2000-02-10,27.4468017621145,27.6899735682819,26.7488986784141,27.6,10832400,27.6,NA,NA,NA,NA
2000-02-11,27.6240257471264,27.7455889655172,26.3184367816092,26.44,7592000,26.44,NA,NA,NA,NA
2000-02-14,26.5794801830585,28.1745894136948,26.4117019255677,28.16,13130000,28.16,NA,NA,NA,NA
2000-02-15,28.0183403361345,29.1585226890756,28.0037537815126,28.93,17363600,28.93,NA,NA,NA,NA
2000-02-16,28.6326892744479,28.7226603575184,27.2636698212408,27.75,13525200,27.75,NA,NA,NA,NA
2000-02-17,28.0078062157221,28.0831809872029,27.5044972577697,27.93,10350000,27.93,NA,NA,NA,NA
2000-02-18,27.869402247191,28.0517617977528,26.957604494382,27.05,8346800,27.05,NA,NA,NA,NA
2000-02-22,26.7728705737633,28.4309797030138,25.9389535190229,27.67,15083200,27.67,NA,NA,NA,NA
2000-02-23,27.5258477419355,28.9285161290323,26.9837419354839,28.26,16905600,28.26,NA,NA,NA,NA
2000-02-24,28.5230303819444,28.9631180555556,27.1711588541667,28.01,13446400,28.01,NA,NA,NA,NA
2000-02-25,27.9197281870073,28.452296819788,26.7792044939748,26.84,8908000,26.84,NA,NA,NA,NA
2000-02-28,26.7788503311258,27.9655629139073,26.3532874172185,27.54,11729200,27.54,NA,NA,NA,NA
2000-02-29,27.6122596405514,28.5094878729716,27.3691083580527,27.87,13186800,27.87,NA,NA,NA,NA
2000-03-01,28.8234272120328,32.1054470109738,28.8088404573709,31.68,38478000,31.68,NA,NA,NA,NA
2000-03-02,30.8755737704918,31.1041016393443,29.3415196721311,29.66,11136800,29.66,NA,NA,NA,NA
2000-03-03,30.35901875,31.17591875,29.175,31.12,11565200,31.12,NA,NA,NA,NA
2000-03-06,30.6353727424616,31.396394303445,30.3922348635532,30.56,7520000,30.56,NA,NA,NA,NA
2000-03-07,30.737875803695,30.980978269716,29.4445706844633,29.87,9767600,29.87,NA,NA,NA,NA
2000-03-08,29.8715098360656,30.1316426229508,28.8236852459016,29.66,9690800,29.66,NA,NA,NA,NA
2000-03-09,29.3845104294479,30.3885480572597,28.7475664621677,29.72,9884400,29.72,NA,NA,NA,NA
2000-03-10,29.5830083499006,31.1023920477137,29.415268389662,30.57,8900800,30.57,NA,NA,NA,NA
2000-03-13,29.6969746929355,30.7620971065864,29.0598466738109,29.5,10864400,29.5,26.8564,NA,NA,NA
2000-03-14,29.4747623632385,30.2115098468271,27.7192122538293,27.78,15321200,27.78,26.912,NA,NA,NA
2000-03-15,28.1068490322581,29.2323870967742,27.7422038709677,28.26,15845200,28.26,26.9328,NA,NA,NA
2000-03-16,28.526518591642,29.6669957222771,27.8432050016453,29.56,13516800,29.56,27.0256,NA,NA,NA
2000-03-17,29.2035744,30.39,29.0820144,30.39,10902400,30.39,27.1276,NA,NA,NA
2000-03-20,30.0315853658537,30.7003048780488,29.7568024390244,29.91,7316400,29.91,27.2638,NA,NA,NA
2000-03-21,29.7998636431006,33.2500926337632,29.5713072476656,32.81,18729200,32.81,27.4362,NA,NA,NA
2000-03-22,32.2856425549622,35.1061987655177,31.988997850059,35.06,20288800,35.06,27.662,NA,NA,NA
2000-03-23,34.5277758120444,36.5654008916566,34.0414691104664,34.36,20098000,34.36,27.8982,NA,NA,NA
2000-03-24,34.6317456197274,34.9964438676184,32.9444083928185,33.72,15962000,33.72,28.1486,NA,NA,NA
2000-03-27,33.4607760103181,35.1917992261393,33.2784350816853,33.93,9976800,33.93,28.3568,NA,NA,NA
2000-03-28,33.3728706964709,34.5278516495364,33.3436922302882,33.83,7253600,33.83,28.545,NA,NA,NA
2000-03-29,33.8863395615713,33.9009268795057,32.5370126526409,33.05,8568800,33.05,28.7006,NA,NA,NA
2000-03-30,32.4686218687873,33.4726306163022,30.4946385685885,30.57,14800000,30.57,28.7938,NA,NA,NA
2000-03-31,30.9849701789264,33.370112657389,30.6348575215374,33.02,14457600,33.02,28.9022,NA,NA,NA
2000-04-03,32.9424274247993,33.9148976070812,31.4691350986423,32.41,11742400,32.41,29.0092,NA,NA,NA
2000-04-04,32.2433312387087,32.3332809677166,28.3827861126384,30.95,23596400,30.95,29.1116,NA,NA,NA
2000-04-05,30.7493403896303,32.3078386255561,30.1487958275809,31.7,16359200,31.7,29.1998,NA,NA,NA
2000-04-06,31.7627382378784,32.7037303298986,29.9682882019331,30.44,9290800,30.44,29.2728,NA,NA,NA
2000-04-07,30.9359962049336,32.0616045540797,30.51055028463,32.03,8668800,32.03,29.3784,NA,NA,NA
2000-04-10,32.0164728,32.27418,30.32922,30.39,7592400,30.39,29.492,NA,NA,NA
2000-04-11,30.0271265907569,30.3602210314802,28.704474212994,29.04,19368000,29.04,29.5682,NA,NA,NA
2000-04-12,28.9303432494279,28.9303432494279,25.4951688787185,26.56,33618800,26.56,29.612,NA,NA,NA
2000-04-13,27.1083823917055,29.1749406906247,26.3790088744399,27.67,18923600,27.67,29.685,NA,NA,NA
2000-04-14,26.57756324305,28.6904442656655,26.502190042013,27.2,23845600,27.2,29.7266,NA,NA,NA
2000-04-17,26.6258173891984,30.1370210704771,26.5188278033422,30.12,14642400,30.12,29.8038,NA,NA,NA
2000-04-18,30.0305430755892,30.85,29.0262828091747,30.85,13962400,30.85,29.8662,NA,NA,NA
2000-04-19,30.6827567701453,31.6699347754293,29.1168882100396,29.45,18586400,29.45,29.8966,NA,NA,NA
2000-04-20,30.0718516025911,30.3295617060654,28.4599478421805,28.9,25806800,28.9,29.927,NA,NA,NA
2000-04-24,27.9626556016598,29.3,27.901867219917,29.3,15845600,29.3,29.961,NA,NA,NA
2000-04-25,29.6948328267477,31.306990881459,29.6802431610942,31.2,14002400,31.2,30.0562,NA,NA,NA
2000-04-26,30.7912785425769,31.1268650564669,29.1814359904377,29.5,13117600,29.5,30.083,NA,NA,NA
2000-04-27,28.4954303747535,30.8807889546351,28.3471053254438,30.82,11678000,30.82,30.1208,NA,NA,NA
2000-04-28,30.9039110108012,30.9962921167177,29.4914525229728,30.16,8932400,30.16,30.169,NA,NA,NA
2000-05-01,30.3561370766632,30.4169125573164,29.6268313088247,30.22,8100000,30.22,30.2148,NA,NA,NA
2000-05-02,29.9681428692627,30.6975905658777,28.5700347840842,28.66,8446400,28.66,30.247,NA,NA,NA
2000-05-03,28.9235285937772,29.4852685555362,27.143469494177,27.98,17500000,27.98,30.2532,NA,NA,NA
2000-05-04,27.9869834673412,28.0185879483242,26.8783955190171,26.91,14284400,26.91,30.2262,NA,NA,NA
2000-05-05,26.9384282178218,27.8962606082037,26.9165487977369,27.5,10160000,27.5,30.216,NA,NA,NA
2000-05-08,27.2489039229931,27.6378614239012,26.7408281874319,26.77,6605600,26.77,30.2146,NA,NA,NA
2000-05-09,26.8242450682853,27.0528262518968,25.5013922610015,25.64,11685600,25.64,30.1766,NA,NA,NA
2000-05-10,25.3050951565804,25.5336824086195,24.0138203604874,24.15,19127600,24.15,30.1022,NA,NA,NA
2000-05-11,24.6498395097753,25.3501604902247,24.0735337029472,25,17852400,25,29.9686,NA,NA,NA
2000-05-12,25.7760639286378,26.8703307935328,25.4769643188998,26.17,10962000,26.17,29.8988,NA,NA,NA
2000-05-15,26.2767683168317,26.2767683168317,24.3460118811881,24.56,24252000,24.56,29.7676,NA,NA,NA
2000-05-16,25.4154981549815,26.5194625792412,24.9850979279024,25.7,15736400,25.7,29.6704,NA,NA,NA
2000-05-17,25.1971293282036,25.2141511295255,24.4068314096873,24.65,14227600,24.65,29.566,NA,NA,NA
